Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1,Max Aarons,ENG,DF,Norwich City,Premier League,22.0,2000,34,32,2881,32.0,0.0,0.15137614678899083,0.09375,0.19794344473007713,0.0,0.0,0.5606060606060606,0.0,,,0.24927953890489918,0.30180180180180183,0.4402332361516035,0.17394931023419957,0.22839256865912766,0.3620501635768812,0.36920700308959836,0.6731707317073169,0.1618131172448721,0.1978050692448393,0.40882352941176475,0.1332886805090422,0.17339449541284405,0.3301886792452831,0.13953488372093023,0.2099644128113879,0.08270676691729324,0.40213523131672596,0.22123893805309736,0.25921219822109276,0.30180180180180183,0.1860119047619048,0.6002351557907114,0.28378378378378377,0.09523809523809523,0.2518210197710718,0.06260296540362438,0.32045454545454544,0.0,0.0,0.0,0.0,0.20556414219474498,0.5763508222396241,0.18788452437292946,0.0531093347784853,0.38150048536957426,0.042889390519187366,0.8756756756756757,0.10714285714285712,0.24927953890489918,0.5116279069767442,0.3522727272727273,0.48039215686274506,0.6434108527131782,0.23043478260869563,0.25177304964539005,0.036585365853658534,0.3913043478260869,0.3939393939393939,0.24,0.0,0.18604651162790697,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.46408839779005534,0.4747474747474747,0.4045307443365696,0.3785714285714286,0.0,0.5531914893617021,0.3989071038251366,0.7775175644028103,0.27835051546391754,0.6012084592145014,0.4285714285714285,0.18220338983050852,0.49660441426146,0.4888178913738019,0.23678646934460884,0.8112449799196787,0.32222222222222224,0.2,0.7592592592592593,0.2077625570776256,0.2889561270801816,0.19281045751633985,0.0,0.3249258160237388,0.24567993989481593,0.30617977528089885,0.22050290135396522,0.35728744939271256,0.21195652173913043,0.24208860759493667,0.4951923076923077,0.6741573033707865,0.423,0.47186147186147187,0.5,0.2849740932642487,0.3254281949934124,0.3338171262699564,0.4646840148698885,0.4322916666666667,0.3153846153846154,0.46408839779005523,0.562874251497006,0.273462783171521,0.2578616352201258,0.559633027522936,0.2706131078224101,0.4310344827586207,0.0,0.0,0.2966101694915254,0.812785388127854,0.06976744186046512,0.32045454545454544,0.4747474747474747,0.0,0.4615384615384615,0.3333333333333333,0.037292817679558075,0.0,0.49779735682819387,0.0
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34.0,1987,34,34,2983,33.1,0.1764705882352941,0.313953488372093,0.3050847457627119,0.33299999999999996,0.22,0.33,0.6317567567567567,0.0,,,0.24538745387453884,0.2583170254403131,0.5200000000000002,0.33082062703443543,0.34302963776070244,0.11755336094297546,0.12662435781202783,0.5406976744186052,0.355421686746988,0.33223684210526316,0.681818181818182,0.275974025974026,0.4072948328267477,0.46689895470383286,0.0,0.10666666666666666,0.38120567375886527,0.10112359550561797,0.0,0.36115843270868825,0.2583170254403131,0.31182795698924726,0.15825846579129235,0.7233333333333333,0.0,0.5063063063063062,0.48231511254019294,0.013761467889908256,0.0,0.0,0.0,0.0,0.32450331125827814,0.12206572769953049,0.3168604651162791,0.4607549430796884,0.1269735969218522,0.3357664233576642,0.03471074380165289,0.2553191489361702,0.24538745387453884,0.3125,0.4534883720930233,0.3106060606060606,0.27335640138408307,0.13903743315508021,0.1571428571428571,0.0,0.36,0.06818181818181818,0.0,0.2647058823529411,0.05357142857142856,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3669467787114846,0.5405405405405405,0.3644067796610169,0.410958904109589,0.043478260869565216,0.12222222222222222,0.06845238095238095,0.5144596651445966,0.10762331838565022,0.5087521174477696,0.6351606805293004,0.5679442508710801,0.49810246679316883,0.4867469879518071,0.1721991701244813,0.5219780219780219,0.6124031007751938,0.6,0.37967914438502676,0.7867647058823529,0.5942720763723152,0.3347280334728034,0.0,0.27087576374745415,0.5772089182493807,0.6580645161290322,0.24808184143222503,0.07313784967981125,0.21763085399449036,0.2896281800391389,0.20168067226890757,0.1346938775510204,0.727,0.1875,0.08333333333333333,0.24288840262582062,0.29817368617219525,0.2974759615384615,0.2640099626400997,0.25524475524475526,0.0,0.12275449101796408,0.18571428571428572,0.2530612244897959,0.2655935613682092,0.8756218905472637,0.08108108108108107,0.2631578947368421,0.2,0.0,0.39923954372623577,0.2863070539419087,0.0,0.013761467889908256,0.5405405405405405,0.0,0.1875,0.0,0.3056338028169014,0.5177514792899408,0.43577981651376163,0.6952224052718287
3,Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,22.0,2000,31,29,2462,27.4,0.1142857142857143,0.18772563176895307,0.14173228346456693,0.4371069182389937,0.20689655172413793,0.1,0.5051546391752578,0.0,0.0,0.0,0.4604026845637583,0.408955223880597,0.8778135048231512,0.45333044357751767,0.21948955916473323,0.3361111111111111,0.31693989071038253,0.8258426966292137,0.48862115127175365,0.4672364672364673,0.8932384341637011,0.32728451069345427,0.2539827036868457,0.9418604651162791,0.0,0.18141592920353986,0.19534282018111257,0.20588235294117646,0.06349206349206349,0.21974522292993628,0.408955223880597,0.46835443037974683,0.046364594309799785,0.10396039603960394,0.06666666666666667,0.3603925066904549,0.10902255639097745,0.09254498714652956,0.0,0.0,0.0,0.0,0.4654696132596685,0.29642248722316866,0.10240963855421686,0.05765907305577377,0.5620520987373451,0.515151515151515,0.11904761904761904,0.29292929292929293,0.4604026845637583,0.13725490196078433,0.11926605504587152,0.25641025641025644,0.27222222222222225,0.22166246851385393,0.18888888888888894,0.0,0.0,0.39473684210526316,0.4411764705882352,0.2692307692307693,0.04301075268817204,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.4258760107816712,0.38,0.455,0.35443037974683544,0.1935483870967742,0.3833333333333333,0.36343115124153497,0.4025,0.4411764705882352,0.561320754716981,0.6836935166994106,0.36312849162011174,0.5721455457967378,0.5836545875096377,0.34862385321100925,0.196969696969697,0.044444444444444446,0.0,0.2841530054644809,0.4481605351170569,0.4366471734892788,0.16500000000000004,0.0,0.4209748892171346,0.20807453416149066,0.5702864756828779,0.4446564885496182,0.2571428571428572,0.10150375939849623,0.4602698650674663,0.31135531135531136,0.2600422832980972,0.5862068965517241,0.31353135313531355,0.14,0.4654605263157895,0.4812286689419795,0.33643122676579923,0.15080346106304082,0.14414414414414414,0.16666666666666666,0.30434782608695654,0.4444444444444444,0.42289348171701113,0.41033925686591277,0.7609756097560972,0.21843003412969286,0.7857142857142857,0.7857142857142857,0.7000000000000001,0.35276967930029157,0.31528662420382164,0.0,0.09254498714652956,0.38,0.0,0.0,0.0,0.5594202898550723,0.22797927461139897,0.22026431718061673,0.7032348804500704
4,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29.0,1993,34,34,2956,32.8,0.0,0.2779783393501805,0.1653543307086614,0.36635220125786166,0.0,0.0,0.6237113402061857,0.0,0.0,0.0,0.2563758389261745,0.24179104477611935,0.5530546623794209,0.27091460771564796,0.2696055684454757,0.1638888888888889,0.16120218579234968,0.5505617977528089,0.2610441767068273,0.2507122507122508,0.6441281138790037,0.2968243681140635,0.3258989531178881,0.565891472868217,0.15384615384615383,0.34070796460176994,0.332470892626132,0.2598039215686274,0.2857142857142857,0.4140127388535031,0.24179104477611935,0.30942334739803096,0.059009483667017915,0.1188118811881188,0.3,0.48974130240856384,0.2387218045112782,0.20308483290488433,0.007177033492822967,0.0,0.0,0.0,0.2582872928176796,0.45485519591141393,0.2494979919678715,0.05231736056559309,0.4573996132408145,0.07196969696969695,0.11904761904761904,0.15151515151515152,0.2563758389261745,0.4117647058823529,0.10550458715596331,0.5085470085470085,0.738888888888889,0.36020151133501255,0.3370370370370371,0.039735099337748346,0.07692307692307691,0.07894736842105263,0.6176470588235293,0.6923076923076923,0.16129032258064516,0.15384615384615383,0.0,0.0,0.0,0.2727272727272727,0.0,0.8463611859838275,0.776,0.745,0.860759493670886,0.3978494623655914,1.0,1.0,0.4525,1.0,0.7783018867924527,0.9528487229862475,0.3798882681564246,0.8331242158092848,0.814957594448728,0.2878440366972478,0.5454545454545455,0.09999999999999999,0.0,0.6338797814207652,0.6822742474916389,0.8771929824561404,0.06000000000000001,0.0,0.29098966026587897,0.0,0.2704863424383744,0.41603053435114495,0.2857142857142857,0.07142857142857142,0.32533733133433274,0.41758241758241765,0.3551797040169133,0.5911330049261083,0.3960396039603961,0.18,0.33717105263157904,0.22662116040955632,0.21313506815365554,0.15327564894932016,0.26426426426426425,0.09999999999999999,0.30869565217391304,0.4444444444444444,0.22734499205087433,0.22940226171243938,0.7853658536585363,0.24232081911262804,0.48214285714285715,0.0,0.0,0.282798833819242,0.5668789808917196,0.12,0.20308483290488433,0.776,0.0,0.0,0.0,0.5753623188405795,0.11139896373056996,0.022026431718061668,0.7032348804500704
6,Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,23.0,1998,24,5,726,8.1,0.0,0.23214285714285723,0.0,0.0,0.0,0.0,0.5172413793103448,0.0,0.0,0.0,0.07518796992481204,0.10439560439560432,0.37086092715231794,0.06560364464692485,0.1956521739130435,0.17884405670665213,0.2368655387355299,0.3273542600896862,0.10256410256410256,0.019575856443719432,0.4654832347140038,0.18222222222222223,0.17980295566502463,0.46120689655172414,0.3157894736842105,0.4857142857142857,0.23841059602649006,0.4654088050314465,0.0,0.3416370106761566,0.10439560439560432,0.09729729729729732,0.3148936170212766,0.1935483870967742,0.3333333333333333,0.07304526748971193,0.14285714285714285,0.11682242990654206,0.0,0.0,0.0,,0.15549597855227873,0.08054711246200612,0.2636072572038421,0.14934660858742999,0.2753123653597587,0.573529411764706,0.0,0.1043956043956044,0.07518796992481204,0.7142857142857143,0.6813186813186813,0.078125,0.5220588235294119,0.5585585585585586,0.3779069767441861,0.0,0.0,0.16216216216216217,0.6097560975609756,1.0,0.3623188405797102,0.27906976744186046,0.0,0.0,0.3,0.0,0.0,1.0,0.7843137254901961,0.74,1.0,0.8596491228070176,0.3676470588235294,0.723404255319149,0.272863568215892,0.9250000000000002,0.8405885959534027,0.46567717996289415,0.019607843137254947,0.8006535947712418,0.7534833869239013,0.738562091503268,0.400763358778626,1.0,,0.2595419847328244,0.9082568807339448,1.0,0.40909090909090906,0.0,0.2875536480686695,0.4244186046511628,0.45137157107231923,0.28455284552845533,0.2631578947368421,0.04439746300211416,0.28270042194092826,0.3049645390070922,0.4685714285714286,0.27027027027027023,0.29545454545454547,0.34285714285714286,0.3416149068322981,0.31891891891891894,0.3304878048780488,0.3422680412371133,0.4852941176470588,0.5375,0.957393483709273,0.16923076923076927,0.1778846153846152,0.106508875739645,0.07881773399014784,0.25146198830409355,0.6981132075471698,0.0,,0.6653061224489797,0.41304347826086957,0.918918918918919,0.11682242990654206,0.7843137254901961,0.0,0.0,0.0,0.5169902912621359,0.24454148471615722,0.4757952973720609,0.39432989690721654
8,Tammy Abraham,ENG,FW,Roma,Serie A,24.0,1997,37,36,3084,34.3,0.5555555555555556,0.4796238244514106,0.4320987654320988,0.40624999999999994,0.625,0.6567164179104478,0.19512195121951206,0.1276595744680851,0.2571428571428572,0.1764705882352941,0.10439560439560434,0.10526315789473685,0.46,0.10568654646324552,0.15608074839980307,0.16168717047451667,0.21286031042128603,0.49264705882352955,0.08545197740112993,0.07934426229508197,0.4688427299703266,0.152428810720268,0.0959409594095941,0.851063829787234,0.2033898305084746,0.2169811320754717,0.24742268041237114,0.2328767123287671,0.14285714285714285,0.23141891891891894,0.10526315789473685,0.09774436090225565,0.3102253032928943,0.12686567164179105,0.37499999999999994,0.186960690316395,0.08695652173913043,0.18567639257294427,0.0,0.0,0.0,0.0,0.1131105398457584,0.2531486146095718,0.1553985872855701,0.023613399231191653,0.23844235564933822,0.34309623430962344,0.026315789473684213,0.31840796019900497,0.10439560439560434,0.0,0.25773195876288657,0.2136363636363636,0.2380952380952381,0.3001988071570577,0.32415902140672787,0.019736842105263157,0.03614457831325301,0.5671641791044776,0.23287671232876714,0.29032258064516125,0.3977272727272727,0.18987341772151897,0.0,0.16666666666666666,0.375,0.3333333333333333,0.0,0.38823529411764707,0.41025641025641024,0.27358490566037735,0.42718446601941745,0.325,0.32954545454545453,0.20577617328519857,0.6521739130434783,0.14814814814814817,0.3575252825698989,0.4705882352941176,0.5656108597285068,0.20146520146520147,0.39294403892944046,0.41745531019978965,0.3227091633466135,0.7441860465116279,0.0,0.2330508474576271,0.26993865030674846,0.3333333333333333,0.6206896551724138,0.0,0.1283783783783784,0.5,0.1582952815829528,0.2894969108561342,0.0980392156862745,0.35429262394195893,0.12935323383084574,0.32826747720364746,0.38675958188153314,0.6493333333333333,0.3106267029972752,0.15517241379310345,0.12661498708010338,0.13474240422721268,0.15308343409915356,0.2073170731707317,0.19999999999999998,0.2222222222222222,0.3417721518987342,0.2892857142857143,0.11934156378600844,0.08379888268156424,0.18115942028985504,0.2517564402810305,0.4727272727272727,0.0,0.0,0.348993288590604,0.21487603305785125,0.27607361963190186,0.18567639257294427,0.41025641025641024,0.15789473684210525,0.3,0.0,0.25416666666666665,0.18418907905460474,0.3328894806924101,0.531578947368421
10,Francesco Acerbi,ITA,DF,Lazio,Serie A,34.0,1988,30,29,2536,28.2,0.42424242424242425,0.21888412017167383,0.2336448598130841,0.6886792452830188,0.5,0.57,0.13618677042801552,0.0,0.0,0.0,0.8309572301425663,0.8616780045351472,0.879746835443038,0.8314655546868214,0.8079889807162534,0.5548089038219236,0.5424063116370809,0.8524590163934425,0.945588806840264,0.9626556016597508,0.8901960784313726,0.6664233576642336,0.6514896008993816,0.8014842300556586,0.0,0.06687898089171974,0.7019438444924406,0.09813084112149532,0.0,0.41058394160583944,0.8616780045351472,0.8686440677966101,0.11238095238095239,0.579088471849866,0.368421052631579,0.5040160642570282,0.6115107913669066,0.00851063829787234,0.0,0.0,0.0,0.0,0.74373795761079,0.27303465765004226,0.569672131147541,0.8193146417445483,0.17329868442423257,0.39857651245551606,0.004012036108324975,0.34567901234567905,0.8309572301425663,0.06557377049180328,0.3821656050955414,0.19791666666666666,0.13740458015267173,0.08624229979466119,0.17605633802816903,0.022727272727272728,0.0,0.09090909090909091,0.25925925925925924,0.0,0.1076923076923077,0.07692307692307693,0.0,0.0,0.0,0.36363636363636365,0.0,0.09243697478991594,0.05429864253393665,0.19576719576719576,0.16233766233766234,0.0,0.08849557522123895,0.10238095238095236,0.36305732484076436,0.13333333333333336,0.07803313735970069,0.0,0.35211267605633806,0.10693970420932876,0.08798017348203224,0.06997742663656885,0.4846938775510204,0.6272189349112427,0.0,0.10497237569060774,0.4030769230769231,0.14915966386554627,0.5550161812297735,0.25,0.8628428927680798,0.8036363636363637,0.9359161083600349,0.9338521400778209,0.04465212876427829,0.12203389830508474,0.8932714617169375,0.06043956043956044,0.03263403263403264,0.75,0.052884615384615384,0.0,0.7972027972027972,0.5891592238989838,0.665733482642777,0.3448687350835322,0.23432343234323433,0.0,0.1564245810055866,0.05612244897959184,0.8195329087048832,0.8089171974522292,0.9408284023668638,0.06055363321799307,0.1320754716981132,0.26666666666666666,0.0,0.1391304347826087,0.21370967741935484,0.27450980392156865,0.00851063829787234,0.05429864253393665,0.4444444444444445,0.0,0.0,0.6153846153846153,0.5147347740667976,0.31853785900783294,0.7567999999999999
13,Marcos Acuña,ARG,DF,Sevilla,La Liga,30.0,1991,31,26,2260,25.1,0.1904761904761905,0.5384615384615385,0.4166666666666667,0.294,0.1818181818181818,0.2,0.5508771929824562,0.16666666666666669,,0.0,0.6947723440134906,0.7701317715959003,0.6650485436893204,0.6571690474371706,0.7898484152503444,0.5751833740831296,0.567251461988304,0.804232804232804,0.5613015688553168,0.64375,0.6865671641791047,0.7097242380261248,0.9810964083175803,0.4767025089605735,0.3529411764705882,0.8274111675126903,0.48137931034482756,0.6117216117216117,0.8679245283018868,0.5330836454431961,0.7701317715959003,0.655448717948718,0.9841269841269841,0.7574750830564785,0.3870967741935484,0.6099518459069021,0.877030162412993,1.0,0.736111111111111,0.13333333333333333,0.6373626373626373,0.23529411764705882,0.5601317957166393,0.6366995073891625,0.84472049689441,0.7901612006670373,0.10341965471447544,0.35230352303523044,0.7603305785123966,0.3508771929824562,0.6947723440134906,0.5217391304347826,0.6308724832214765,0.7836879432624112,0.5190311418685121,0.8954703832752612,0.6145038167938931,1.0,0.18181818181818182,0.6,0.42105263157894735,0.0,0.2727272727272727,0.0975609756097561,0.7272727272727273,0.0,0.0,0.0,0.0,0.6054421768707482,0.6213592233009708,0.49579831932773116,0.4477611940298507,0.5970149253731343,0.461038961038961,0.3333333333333333,0.6673306772908366,0.23369565217391308,0.4138335287221571,0.4654832347140039,0.5076923076923078,0.3956670467502851,0.4076827757125155,0.37188208616780044,0.32568807339449546,0.1322314049586777,0.0,0.41441441441441446,0.11149825783972123,0.443069306930693,0.03535353535353535,0.0,0.7767584097859328,0.0851602023608769,0.49999999999999994,0.5705128205128205,0.7925311203319502,0.17985611510791366,0.6808873720136518,0.8483412322274883,0.875,0.6920000000000001,0.8603603603603602,0.41379310344827586,0.7679856115107915,0.5769641902725815,0.533135875601629,0.5894632206759443,0.6633986928104575,0.1568627450980392,0.42622950819672134,0.568421052631579,0.7389162561576355,0.7366609294320138,0.76536312849162,0.5467775467775468,0.5633802816901409,0.0,0.0,0.6133333333333333,0.9012875536480687,0.0,1.0,0.6213592233009708,0.0,0.22222222222222224,0.0,0.500738552437223,0.25170068027210885,0.33593750000000006,0.4207011686143573
14,Che Adams,SCO,FW,Southampton,Premier League,25.0,1996,30,23,2039,22.7,0.41333333333333333,0.26666666666666666,0.564516129032258,0.75,0.5,0.48333333333333334,0.2857142857142858,0.0,0.0,0.0,0.17822559539387595,0.2219730941704036,0.44771241830065345,0.16695303550973653,0.20171062009978613,0.22016460905349797,0.25558312655086846,0.5376712328767124,0.1461877756773787,0.15625,0.6199999999999999,0.2413793103448276,0.2470023980815348,0.555977229601518,0.30952380952380953,0.35944700460829493,0.30973451327433627,0.21238938053097342,0.06779661016949153,0.3324324324324325,0.2219730941704036,0.25990099009900997,0.12773722627737225,0.0,0.33962264150943394,0.3821733821733822,0.17886178861788618,0.10932475884244372,0.0,0.0,0.0,0.0,0.1858506457046603,0.35838150289017345,0.26933701657458564,0.02233049127080796,0.3663983380940016,0.3722627737226277,0.044444444444444446,0.4025157232704402,0.17822559539387595,0.13432835820895522,0.39639639639639634,0.3443983402489626,0.5824742268041238,0.24806201550387597,0.24340175953079177,0.0,0.039603960396039604,0.3673469387755102,0.923076923076923,0.17391304347826086,0.20930232558139533,0.23636363636363636,0.0,0.0,0.0,0.0,0.18181818181818182,0.1524822695035461,0.20942408376963353,0.20224719101123595,0.10416666666666669,0.2385321100917431,0.10465116279069767,0.2795698924731183,0.19,0.373134328358209,0.3106149627888758,0.3153013910355487,0.32631578947368417,0.2030534351145038,0.26744186046511625,0.40935672514619875,0.5529411764705882,0.31578947368421056,0.0,0.463855421686747,0.2814814814814815,0.2507739938080495,0.26724137931034486,0.0,0.2811158798283262,0.36395759717314485,0.35241730279898215,0.284412032816773,0.12857142857142856,0.15978695073235688,0.3325471698113208,0.07959183673469389,0.13292117465224113,0.4060031595576619,0.0846774193548387,0.0,0.24154589371980673,0.15660490137477587,0.11642512077294687,0.10390624999999998,0.20447284345047922,0.1162227602905569,0.4166666666666667,0.4150943396226414,0.3651315789473684,0.26273458445040215,0.2707889125799573,0.38998957247132426,0.0,0.0,0.0,0.45378151260504207,0.4512534818941504,0.22314049586776863,0.10932475884244372,0.20942408376963353,0.0,0.0,0.0,0.6535269709543567,0.23251028806584367,0.5070967741935483,0.4458874458874459
15,Tyler Adams,USA,MF,RB Leipzig,Bundesliga,23.0,1999,24,12,1351,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36269430051813467,0.0,0.0,0.0,0.5641025641025641,0.513235294117647,0.8253968253968257,0.43599719866158276,0.2918660287081339,0.7994024754588135,0.8096026490066225,0.80379746835443,0.49714693295292434,0.47385947385947386,0.8599221789883266,0.29100084104289314,0.25201845444059984,0.7703252032520326,0.11111111111111112,0.1170212765957447,0.4334511189634864,0.23611111111111116,0.0,0.2970059880239521,0.513235294117647,0.5830388692579505,0.20689655172413796,0.3102040816326531,0.09090909090909091,0.5810363836824696,0.0408997955010225,0.07380073800738007,0.0,0.0,0.0,0.0,0.6242544731610337,0.47434119278779485,0.2940414507772021,0.14742489270386266,0.6149919789995624,0.5056433408577878,0.5636363636363637,0.3,0.5641025641025641,0.4736842105263159,0.41379310344827586,0.36259541984732824,0.5789473684210527,0.2267303102625298,0.2671957671957672,0.0,0.125,0.1891891891891892,0.0,0.0,0.27272727272727276,0.29347826086956524,0.0,0.0,0.0,0.0,0.0,0.2647058823529412,0.24390243902439024,0.19512195121951223,0.4654088050314465,0.3174603174603175,0.2180451127819549,0.2931596091205212,0.31777777777777777,0.2655172413793104,0.4796380090497737,0.538205980066445,0.39024390243902435,0.4271186440677966,0.5729537366548042,0.2311396468699839,0.5945945945945946,0.08045977011494254,0.0,0.7881773399014776,0.23684210526315788,0.2375809935205184,0.3903225806451613,0.5384615384615385,0.5015015015015015,0.2759381898454746,0.5459770114942528,0.7109974424552429,0.27154843630816167,0.14123376623376624,0.5591397849462366,0.2142857142857143,0.16216216216216214,0.461437908496732,0.16666666666666666,0.0,0.620985010706638,0.6208316179497737,0.7366030881017257,0.8045738045738047,0.3718411552346571,0.3448275862068966,0.13478260869565217,0.35059760956175295,0.604895104895105,0.5927927927927927,0.8827838827838832,0.08221797323135753,0.5076923076923077,0.0,0.0,0.25163398692810457,0.2628205128205128,0.0,0.07380073800738007,0.24390243902439024,0.0,0.0,0.0,0.6192609182530795,0.3427835051546392,0.11969111969111972,0.8543516873889875
